UnitSymbolFr,UnitSymbolEn,SizeInMeter,UnitNameFr,UnitNameEn,UnitDescFr,UnitDescEn
ℓP,ℓP,1.616255E-35,Longueur de Planck,Planck Length,≈1.6 × 10⁻³⁵ m,≈1.6 × 10⁻³⁵ m
nm,nm,1E-18,Atomètre,Atometre,10⁻¹⁸ m,10⁻¹⁸ m
fm,fm,1E-15,Femtomètre,Femtometre,10⁻¹⁵ m,10⁻¹⁵ m
pm,pm,1E-12,Picomètre,Picometre,10⁻¹² m,10⁻¹² m
nm,nm,0.000000001,Nanomètre,Nanometre,10⁻⁹ m,10⁻⁹ m
μm,μm,0.000001,Micromètre,Micrometre,10⁻⁶ m,10⁻⁶ m
mm,mm,0.001,Milimètre,Milimeter,1/1000 m,1/1000 m
cm,cm,0.01,Centimètre,Centimetre,1/100 m,1/100 m
m,m,1,Mètre,Meter,Mètre,Meter
Km,Km,1000,Kilomètre,Kilometre,1000 m,1000 m
(1000 Km),(1000 Km),1000000,Mille Km,Thousands of Km,Mille Km,Thousands of Km
(10⁶ Km),(10⁶ Km),1000000000,Million de Km,Milllion of Km,Million de Km,Milllion of Km
UA,AU,149600000000,Unité Astronomique,Astronomical Unit,La distance moyenne Terre-Soleil (≈149 × 10⁶ Km),The average Earth-Sun distance (≈149 × 10⁶ Km)
jl,l d,25902068371200,Jour-Lumière,Light-Day,Distance parcourue par la lumiere pendant un jour (≈25.9 × 10⁹ Km),Distance traveled by light in one day (≈25.9 × 10⁹ Km)
Al,l y,9.4607E+015,Années lumière,Light years,Distance parcourue par la lumiere pendant un an (≈9.46 × 10¹² Km),Distance traveled by light in one year (≈9.46 × 10¹² Km)
K Al,K ly,9.4607E+018,Millier d’années lumière,Thousands of light-years,Distance parcourue par la lumiere pendant mille ans (≈9.46 × 10¹⁵ Km),Distance traveled by light in a thousand years (≈9.46 × 10¹⁵ Km)
M Al,M ly,9.4607E+021,Million d’années lumière,Million of light years,Distance parcourue par la lumiere pendant un millions  d'années (≈9.46 × 10¹⁸ Km),Distance traveled by light in one million years (≈9.46 × 10¹⁸ Km)
G Al,G ly,9.4607E+024,Milliard d’années lumière,Billions of light year,Distance parcourue par la lumiere pendant un milliard d'années (≈9.46 × 10²¹ Km),Distance traveled by light in one billion years (≈9.46 × 10²¹ Km)
